B7_016,F_020,M_F,B3_007,B7_015,F_019,L1_001,M_B7
-5.839908,-3.270484,-5.0594445,-4.01819,-8.06669,-6.848405,-4.462693,-6.953299
-5.102213,-3.883339,-5.20557,-3.595222,-8.06669,-6.527801,-5.109422,-6.5844515
-5.839908,-4.598336,-5.9371065,-3.859577,-8.231718,-7.275877,-4.839952,-7.035813
-5.839908,-4.394051,-5.621228,-4.229673,-8.176708,-6.848405,-5.163316,-7.008308
-5.629138,-3.066199,-4.984019,-3.965319,-7.791644,-6.901839,-4.94774,-6.710391
-6.682989,-4.598336,-5.7500875,-3.648093,-8.451755,-6.901839,-4.624375,-7.567372
-8.052994,-4.291909,-5.596874,-4.229673,-8.616782,-6.901839,-5.486681,-8.334888
-7.104529,-5.109049,-6.112312,-4.176802,-8.341736,-7.115575,-5.001634,-7.7231325
-8.158379,-6.743329,-6.929452,-4.176802,-8.341736,-7.115575,-5.001634,-8.2500575
-7.842224,-5.824046,-6.5766785,-5.181349,-7.681625,-7.329311,-4.624375,-7.7619245
-8.052994,-6.539044,-6.6670075,-4.969866,-8.286727,-6.794971,-4.139328,-8.1698605
-8.052994,-6.539044,-6.790949,-4.369201,-8.211861,-7.042854,-4.497133,-8.1324275
-7.842224,-5.824046,-6.219714,-4.474943,-7.661769,-6.615382,-4.227663,-7.7519965
-7.315299,-4.904764,-5.626488,-4.84504,-7.716778,-6.348212,-4.281557,-7.5160385
-7.315299,-6.232616,-6.557584,-4.950781,-7.826797,-6.882552,-4.012086,-7.571048
-7.631454,-6.334759,-6.5285045,-5.109394,-7.936815,-6.72225,-4.173769,-7.7841345
-9.21223,-5.721904,-6.409096,-4.739298,-8.541917,-7.096288,-4.281557,-8.8770735
-10.160695,-6.539044,-6.924534,-5.479491,-8.32188,-7.310024,-4.389345,-9.2412875
-8.79069,-6.436901,-6.8467455,-4.950781,-7.991824,-7.25659,-4.012086,-8.391257
-7.631454,-5.313334,-6.12466,-5.162265,-8.376889,-6.935986,-4.173769,-8.0041715
-7.104529,-6.641186,-6.788586,-5.109394,-8.32188,-6.935986,-4.012086,-7.7132045
-7.104529,-5.517619,-6.2802365,-4.950781,-7.441732,-7.042854,-4.443239,-7.2731305
-7.315299,-5.313334,-6.12466,-5.109394,-7.221695,-6.935986,-4.71271,-7.268497
-6.893759,-4.189766,-5.536159,-5.320878,-7.661769,-6.882552,-4.119874,-7.277764
-6.682989,-5.006906,-5.784427,-4.633556,-7.441732,-6.561948,-4.173769,-7.0623605
-6.156063,-5.211191,-5.9400035,-5.373749,-7.166686,-6.668816,-3.904298,-6.6613745
-4.996828,-4.087624,-5.458371,-5.003652,-6.781621,-6.829118,-3.958192,-5.8892245
-5.839908,-4.189766,-5.215555,-4.474943,-7.001658,-6.241344,-3.742616,-6.420783
-5.839908,-4.394051,-5.4245655,-4.633556,-7.331714,-6.45508,-3.419251,-6.585811
-4.996828,-3.576911,-5.1228635,-5.162265,-6.561584,-6.668816,-3.79651,-5.779206
-5.629138,-3.679054,-4.799897,-4.84504,-7.001658,-5.92074,-3.79651,-6.315398
-4.575287,-3.270484,-4.515461,-4.739298,-6.451566,-5.760438,-3.79651,-5.5134265
-3.099897,-3.576911,-4.7488255,-4.633556,-6.12151,-5.92074,-3.473145,-4.6107035
-3.521437,-3.372626,-4.3527965,-4.422072,-5.791455,-5.332967,-3.095886,-4.656446
-3.837592,-3.781196,-4.5303645,-4.422072,-6.176519,-5.279533,-3.257568,-5.0070555
-4.575287,-3.372626,-4.806985,-4.474943,-6.231529,-6.241344,-3.419251,-5.403408
-4.575287,-4.189766,-5.135404,-4.474943,-6.12151,-6.081042,-3.203674,-5.3483985
-4.891443,-3.270484,-4.649046,-4.157718,-6.506575,-6.027608,-3.365357,-5.699009
-4.891443,-3.270484,-4.649046,-4.157718,-6.506575,-6.027608,-3.365357,-5.699009
-4.153748,-2.657629,-4.2090335,-4.897911,-6.12151,-5.760438,-4.012086,-5.137629
-4.048363,-3.168342,-4.491107,-4.369202,-6.176519,-5.813872,-3.527039,-5.112441
-4.680673,-3.576912,-4.4282225,-4.633557,-6.396556,-5.279533,-3.580933,-5.5386145
-5.102213,-3.576912,-4.615241,-4.26346,-6.286538,-5.65357,-3.958192,-5.6943755
-5.839909,-2.964057,-4.2820965,-4.422073,-6.451566,-5.600136,-3.904298,-6.1457375
-5.207598,-3.576912,-4.855694,-4.104847,-6.616593,-6.134476,-3.365357,-5.9120955
-6.366834,-3.474769,-4.7244715,-4.474944,-7.001658,-5.974174,-3.79651,-6.684246
-5.839909,-5.006907,-5.6775595,-4.527815,-7.001658,-6.348212,-3.850404,-6.4207835
-6.050679,-4.700479,-5.5510625,-4.580686,-6.781621,-6.401646,-4.658816,-6.41615
-5.523754,-4.598337,-5.4198405,-4.157718,-7.166686,-6.241344,-3.688721,-6.34522
-4.364518,-3.781197,-4.7975345,-4.210589,-6.011492,-5.813872,-4.604922,-5.188005
-3.942978,-2.964057,-4.3889645,-4.104847,-6.011492,-5.813872,-3.634827,-4.977235
-4.153748,-2.657629,-3.915147,-4.527815,-6.12151,-5.172665,-3.365357,-5.137629
-3.205282,-2.861914,-4.204308,-4.474944,-6.066501,-5.546702,-3.203674,-4.6358915
-3.732208,-3.066199,-4.146149,-4.792169,-5.296372,-5.226099,-3.473145,-4.51429
-3.626823,-3.066199,-4.2530165,-4.051977,-5.846464,-5.439834,-3.14978,-4.7366435
-1.940662,-2.351202,-3.7619335,-4.950782,-5.40639,-5.172665,-3.203674,-3.673526
-1.308351,-1.738347,-3.268487,-4.580686,-5.076335,-4.798627,-2.503051,-3.192343
-0.043731,0.202361,-2.05768,-4.051977,-4.636261,-4.317721,-3.257568,-2.339996
0.061654,-0.410494,-2.4442585,-3.576138,-4.141177,-4.478023,-2.018004,-2.0397615
-0.992196,0.610931,-1.71981,-3.840493,-4.031159,-4.050551,-2.934204,-2.5116775
-0.676041,0.508788,-1.7441645,-3.68188,-3.97615,-3.997117,-2.556945,-2.3260955
-1.097581,-0.819064,-2.5951095,-3.576138,-4.251196,-4.371155,-2.287474,-2.6743885
-2.678357,-0.819064,-2.5416755,-3.417526,-4.361214,-4.264287,-2.179686,-3.5197855
-2.151432,-1.227634,-2.9062625,-3.206042,-5.296372,-4.584891,-2.556945,-3.723902
-1.519121,-0.308352,-2.3664705,-3.417526,-4.69127,-4.424589,-2.23358,-3.1051955
-0.254501,-0.512637,-2.308311,-3.68188,-4.526242,-4.103985,-2.341368,-2.3903715
1.64243,-0.716922,-2.3035855,-3.893364,-4.306205,-3.890249,-2.664733,-1.3318875
2.380126,0.917358,-1.4330115,-3.1003,-3.371048,-3.783381,-2.179686,-0.495461
3.644746,2.245211,-0.6622175,-3.576138,-4.380882,-3.569646,-1.964109,-0.368068
3.644746,2.245211,-0.6622175,-3.576138,-4.380882,-3.569646,-1.964109,-0.368068
4.698596,3.470921,0.271241,-3.470396,-4.710938,-2.928439,-1.58685,-0.006171
5.120137,3.573064,0.4558975,-3.311784,-3.720772,-2.661269,-0.886226,0.6996825
5.752447,4.492346,0.8621045,-3.258913,-3.390716,-2.768137,-0.724544,1.1808655
5.436292,4.288061,0.786679,-3.470396,-3.83079,-2.714703,-0.239497,0.802751
6.595527,4.185919,0.89591,-2.835945,-3.555744,-2.394099,-1.101803,1.5198915
6.279372,5.207344,1.3531885,-2.51872,-3.280698,-2.500967,-0.994015,1.499337
6.068602,4.594489,1.394082,-2.624462,-2.675596,-1.806325,-0.67065,1.696503
6.911683,5.513771,1.853723,-2.465849,-2.895633,-1.806325,-0.185603,2.008025
6.173987,5.207344,1.807377,-2.465849,-2.840624,-1.59259,0.24555,1.6666815
6.279372,4.900916,1.654163,-1.567043,-2.510568,-1.59259,-0.185603,1.884402
7.122453,4.492346,1.2628595,-2.465849,-2.290531,-1.966627,0.029974,2.415961
7.649378,6.433054,2.633968,-1.725656,-1.850457,-1.165118,0.353339,2.8994605
