Date,B1_004,B2_006,B3_008,F_020,L1_002,M_B1,M_B2,M_F,M_L1,B1_003,B2_005,F_019,L1_001
2016/10/18,1.7441,2.018615,1.810409,2.026849,2.081909,-0.9884065,-0.654074,-0.6606895,-0.714976,-3.720913,-3.326763,-3.348228,-3.511861
2016/10/22,1.453417,1.730242,1.508674,1.737299,1.784493,-1.008663,-0.6757945,-0.6822085,-0.7421085,-3.470743,-3.081831,-3.101716,-3.26871
2016/10/23,2.906834,3.172109,3.017348,3.185049,3.271572,-0.2819545,0.045139,0.0416665,0.001431,-3.470743,-3.081831,-3.101716,-3.26871
2016/10/24,3.197518,3.460482,3.319083,3.474599,3.568988,0.113557,0.434258,0.4329545,0.393289,-2.970404,-2.591966,-2.60869,-2.78241
2016/10/25,3.778884,4.037229,3.922553,4.053699,4.16382,0.6544095,0.9675635,0.969017,0.933855,-2.470065,-2.102102,-2.115665,-2.29611
2016/10/26,3.778884,4.037229,3.922553,4.053699,4.16382,0.6544095,0.9675635,0.969017,0.933855,-2.470065,-2.102102,-2.115665,-2.29611
2016/10/27,4.360251,4.613976,4.526022,4.632798,4.758652,1.320347,1.6233355,1.6283355,1.5959965,-1.719557,-1.367305,-1.376127,-1.566659
2016/10/28,4.941618,5.190722,5.129492,5.211898,5.353484,1.736115,2.0341745,2.0411415,2.0149875,-1.469388,-1.122373,-1.129615,-1.323509
2016/10/29,6.104352,6.344216,6.336432,6.370098,6.543147,2.317482,2.6109215,2.6202415,2.609819,-1.469388,-1.122373,-1.129615,-1.323509
2016/10/30,7.267086,7.49771,7.543371,7.528297,7.732811,3.6493575,3.9224655,3.938879,3.9341015,0.031629,0.347221,0.349461,0.135392
2016/10/31,7.557769,7.786083,7.845106,7.817847,8.030227,3.9197835,4.189118,4.20691,4.2043845,0.281798,0.592153,0.595973,0.378542
2016/11/1,8.720503,8.939577,9.052045,8.976047,9.21989,4.75132,5.0107975,5.032523,5.0423665,0.782137,1.082018,1.088999,0.864843
2016/11/2,9.011187,9.22795,9.35378,9.265597,9.517306,5.271916,5.522382,5.547067,5.5557995,1.532645,1.816814,1.828537,1.594293
2016/11/3,9.011187,9.22795,9.35378,9.265597,9.517306,5.5220855,5.7673145,5.7935795,5.79895,2.032984,2.306679,2.321562,2.080594
2016/11/4,8.720503,8.939577,9.052045,8.976047,9.21989,5.251659,5.500662,5.525548,5.5286665,1.782815,2.061747,2.075049,1.837443
2016/11/5,8.720503,8.939577,9.052045,8.976047,9.21989,5.5018285,5.745594,5.7720605,5.771817,2.283154,2.551611,2.568074,2.323744
2016/11/6,8.720503,8.939577,9.052045,8.976047,9.21989,5.626913,5.86806,5.895317,5.893392,2.533323,2.796543,2.814587,2.566894
2016/11/7,8.139136,8.36283,8.448575,8.396947,8.625058,4.9609755,5.2122885,5.235998,5.2312505,1.782815,2.061747,2.075049,1.837443
2016/11/8,8.720503,8.939577,9.052045,8.976047,9.21989,5.126574,5.3781955,5.402292,5.4070915,1.532645,1.816814,1.828537,1.594293
2016/11/9,9.883237,10.09307,10.258984,10.134247,10.409554,6.333365,6.567273,6.5976735,6.609799,2.783493,3.041476,3.0611,2.810044
2016/11/10,10.17392,10.381444,10.560719,10.423796,10.70697,6.4787065,6.71146,6.742448,6.758507,2.783493,3.041476,3.0611,2.810044
