B1_004,B3_008,F_020,L1_002,M_B1,M_F,M_L1,B1_003,B2_005,F_019,M_B2,L1_001,B2_006
3.197518,3.319083,3.474599,3.568988,0.113557,0.4329545,0.393289,-2.970404,-2.591966,-2.60869,0.434258,-2.78241,3.460482
3.778884,3.922553,4.053699,4.16382,0.6544095,0.969017,0.933855,-2.470065,-2.102102,-2.115665,0.9675635,-2.29611,4.037229
3.778884,3.922553,4.053699,4.16382,0.6544095,0.969017,0.933855,-2.470065,-2.102102,-2.115665,0.9675635,-2.29611,4.037229
4.360251,4.526022,4.632798,4.758652,1.320347,1.6283355,1.5959965,-1.719557,-1.367305,-1.376127,1.6233355,-1.566659,4.613976
4.941618,5.129492,5.211898,5.353484,1.736115,2.0411415,2.0149875,-1.469388,-1.122373,-1.129615,2.0341745,-1.323509,5.190722
6.104352,6.336432,6.370098,6.543147,2.317482,2.6202415,2.609819,-1.469388,-1.122373,-1.129615,2.6109215,-1.323509,6.344216
7.267086,7.543371,7.528297,7.732811,3.6493575,3.938879,3.9341015,0.031629,0.347221,0.349461,3.9224655,0.135392,7.49771
7.557769,7.845106,7.817847,8.030227,3.9197835,4.20691,4.2043845,0.281798,0.592153,0.595973,4.189118,0.378542,7.786083
8.720503,9.052045,8.976047,9.21989,4.75132,5.032523,5.0423665,0.782137,1.082018,1.088999,5.0107975,0.864843,8.939577
9.011187,9.35378,9.265597,9.517306,5.271916,5.547067,5.5557995,1.532645,1.816814,1.828537,5.522382,1.594293,9.22795
9.011187,9.35378,9.265597,9.517306,5.5220855,5.7935795,5.79895,2.032984,2.306679,2.321562,5.7673145,2.080594,9.22795
8.720503,9.052045,8.976047,9.21989,5.251659,5.525548,5.5286665,1.782815,2.061747,2.075049,5.500662,1.837443,8.939577
8.720503,9.052045,8.976047,9.21989,5.5018285,5.7720605,5.771817,2.283154,2.551611,2.568074,5.745594,2.323744,8.939577
8.720503,9.052045,8.976047,9.21989,5.626913,5.895317,5.893392,2.533323,2.796543,2.814587,5.86806,2.566894,8.939577
8.139136,8.448575,8.396947,8.625058,4.9609755,5.235998,5.2312505,1.782815,2.061747,2.075049,5.2122885,1.837443,8.36283
8.720503,9.052045,8.976047,9.21989,5.126574,5.402292,5.4070915,1.532645,1.816814,1.828537,5.3781955,1.594293,8.939577
9.883237,10.258984,10.134247,10.409554,6.333365,6.5976735,6.609799,2.783493,3.041476,3.0611,6.567273,2.810044,10.09307
10.17392,10.560719,10.423796,10.70697,6.4787065,6.742448,6.758507,2.783493,3.041476,3.0611,6.71146,2.810044,10.381444
10.755287,11.164189,11.002896,11.301802,7.2697285,7.525023,7.5422235,3.78417,4.021205,4.04715,7.4896975,3.782645,10.95819
10.17392,10.560719,10.423796,10.70697,6.7288755,6.9889605,7.001657,3.283831,3.53134,3.554125,6.956392,3.296344,10.381444
9.883237,10.258984,10.134247,10.409554,6.4584495,6.7209295,6.731374,3.033662,3.286408,3.307612,6.689739,3.053194,10.09307
9.30187,9.655515,9.555147,9.814722,6.4179355,6.677892,6.6771085,3.534001,3.776272,3.800637,6.6462975,3.539495,9.516323
9.883237,10.258984,10.134247,10.409554,6.4584495,6.7209295,6.731374,3.033662,3.286408,3.307612,6.689739,3.053194,10.09307
9.30187,9.655515,9.555147,9.814722,6.167766,6.4313795,6.433958,3.033662,3.286408,3.307612,6.4013655,3.053194,9.516323
9.30187,9.655515,9.555147,9.814722,6.167766,6.4313795,6.433958,3.033662,3.286408,3.307612,6.4013655,3.053194,9.516323
9.30187,9.655515,9.555147,9.814722,6.2928505,6.554636,6.555533,3.283831,3.531341,3.554125,6.523832,3.296344,9.516323
9.592554,9.95725,9.844697,10.112138,6.4381925,6.699411,6.704241,3.283831,3.531341,3.554125,6.668019,3.296344,9.804697
8.720504,9.052045,8.976047,9.219891,5.6269135,5.895317,5.8933925,2.533323,2.796544,2.814587,5.86806,2.566894,8.939576
9.883237,10.258985,10.134247,10.409554,6.4584495,6.7209295,6.731374,3.033662,3.286408,3.307612,6.689739,3.053194,10.09307
10.755288,11.164189,11.002896,11.301802,7.1446445,7.4017665,7.420648,3.534001,3.776273,3.800637,7.3672315,3.539494,10.95819
10.755288,11.164189,11.002896,11.301802,7.770068,8.018048,8.0285235,4.784848,5.000934,5.0332,7.979562,4.755245,10.95819
12.499389,12.974598,12.740195,13.086297,9.142457,9.379723,9.4070715,5.785525,5.980663,6.019251,9.334547,5.727846,12.688431
13.662123,14.181537,13.898395,14.275961,10.4743325,10.6983605,10.731354,7.286542,7.450257,7.498326,10.6460905,7.186747,13.841924
13.952806,14.483272,14.187945,14.573377,10.994928,11.2129045,11.2447875,8.03705,8.185053,8.237864,11.1576755,7.916198,14.130298
13.662123,14.181537,13.898395,14.275961,10.8495865,11.0681295,11.0960795,8.03705,8.185053,8.237864,11.0134885,7.916198,13.841924
13.952806,14.483272,14.187945,14.573377,11.2450975,11.459417,11.4879375,8.537389,8.674918,8.730889,11.402608,8.402498,14.130298
14.24349,14.785007,14.477494,14.870793,11.3904395,11.6041915,11.6366455,8.537389,8.674918,8.730889,11.5467945,8.402498,14.418671
13.662123,14.181537,13.898395,14.275961,11.099756,11.314642,11.3392295,8.537389,8.674918,8.730889,11.258421,8.402498,13.841924
13.662123,14.181537,13.898395,14.275961,10.9746715,11.191386,11.2176545,8.28722,8.429986,8.484377,11.135955,8.159348,13.841924
13.371439,13.879803,13.608845,13.978545,10.954414,11.169867,11.1905215,8.537389,8.674918,8.730889,11.1142345,8.402498,13.553551
13.371439,13.879803,13.608845,13.978545,11.079499,11.2931235,11.3120965,8.787559,8.91985,8.977402,11.2367005,8.645648,13.553551
13.080756,13.578068,13.319295,13.681129,10.683988,10.901836,10.9202385,8.28722,8.429986,8.484377,10.847582,8.159348,13.265178
13.080756,13.578068,13.319295,13.681129,10.683988,10.901836,10.9202385,8.28722,8.429986,8.484377,10.847582,8.159348,13.265178
12.790072,13.276333,13.029745,13.383713,10.2884765,10.5105485,10.52838,7.786881,7.940121,7.991352,10.4584625,7.673047,12.976804
12.790072,13.276333,13.029745,13.383713,10.413561,10.6338045,10.6499555,8.03705,8.185053,8.237864,10.5809285,7.916198,12.976804
12.499389,12.974598,12.740195,13.086297,10.143135,10.3657735,10.379672,7.786881,7.940121,7.991352,10.314276,7.673047,12.688431
13.080756,13.578068,13.319295,13.681129,10.683988,10.901836,10.9202385,8.28722,8.429986,8.484377,10.847582,8.159348,13.265178
13.371439,13.879803,13.608845,13.978545,10.7042445,10.9233545,10.9473715,8.03705,8.185053,8.237864,10.869302,7.916198,13.553551
13.371439,13.879803,13.608845,13.978545,11.079499,11.2931235,11.3120965,8.787559,8.91985,8.977402,11.2367005,8.645648,13.553551
12.790072,13.276333,13.029745,13.383713,10.413561,10.6338045,10.6499555,8.03705,8.185053,8.237864,10.5809285,7.916198,12.976804
13.080756,13.578068,13.319295,13.681129,10.558903,10.7785795,10.7986635,8.03705,8.185053,8.237864,10.7251155,7.916198,13.265178
14.24349,14.785007,14.477494,14.870793,11.3904395,11.6041915,11.6366455,8.537389,8.674918,8.730889,11.5467945,8.402498,14.418671
14.824857,15.388477,15.056594,15.465624,12.181462,12.386767,12.4203615,9.538067,9.654647,9.71694,12.3250325,9.375099,14.995418
15.406224,15.991946,15.635694,16.060456,12.4721455,12.676317,12.7177775,9.538067,9.654647,9.71694,12.613406,9.375099,15.572165
15.406224,15.991946,15.635694,16.060456,12.4721455,12.676317,12.7177775,9.538067,9.654647,9.71694,12.613406,9.375099,15.572165
15.115541,15.690211,15.346144,15.76304,12.451889,12.6547985,12.6906445,9.788237,9.899579,9.963453,12.591685,9.618249,15.283791
14.824857,15.388477,15.056594,15.465625,12.0563775,12.263511,12.298787,9.287898,9.409715,9.470428,12.2025665,9.131949,14.995418
14.534174,15.086742,14.767044,15.168209,11.911036,12.118736,12.150079,9.287898,9.409715,9.470428,12.05838,9.131949,14.707045
14.534174,15.086742,14.767044,15.168209,11.911036,12.118736,12.150079,9.287898,9.409715,9.470428,12.05838,9.131949,14.707045
14.534174,15.086742,14.767044,15.168209,11.785951,11.9954795,12.028504,9.037728,9.164782,9.223915,11.9359135,8.888799,14.707045
15.115541,15.690211,15.346144,15.76304,12.326804,12.531542,12.5690695,9.538067,9.654647,9.71694,12.469219,9.375099,15.283791
15.406224,15.991946,15.635694,16.060456,12.4721455,12.676317,12.7177775,9.538067,9.654647,9.71694,12.613406,9.375099,15.572165
15.115541,15.690211,15.346144,15.76304,12.451889,12.6547985,12.6906445,9.788237,9.899579,9.963453,12.591685,9.618249,15.283791
15.406224,15.991946,15.635694,16.060456,12.4721455,12.676317,12.7177775,9.538067,9.654647,9.71694,12.613406,9.375099,15.572165
