B1_004,B2_006,B3_008,B6_014,B7_016,F_020,L1_002,L2_018,M_B1,M_B2,M_B3,M_B6,M_L1,M_L2,B1_003,B2_005,B3_007,B6_013,F_019,L1_001,L2_017,M_F
-8.77432,-9.082963,-8.552166,-9.340289,-10.012771,-9.295298,-8.782034,-9.074557,-7.8266275,-7.967173,-7.7395865,-9.2413735,-8.385071,-8.835683,-6.878935,-6.851383,-6.927007,-9.142458,-10.046982,-7.988108,-8.596809,-9.67114
-9.057362,-9.375962,-8.828042,-9.641588,-10.314604,-9.595146,-9.074769,-9.367284,-7.9681485,-8.1136725,-7.8775245,-9.392023,-8.5314385,-8.9820465,-6.878935,-6.851383,-6.927007,-9.142458,-10.046982,-7.988108,-8.596809,-9.821064
-9.057362,-9.375962,-8.828042,-9.641588,-10.314604,-9.595146,-9.074769,-9.367284,-7.886256,-8.0321085,-7.7950605,-9.308352,-8.4487525,-8.8973655,-6.71515,-6.688255,-6.762079,-8.975116,-9.877315,-7.822736,-8.427447,-9.7362305
-9.057362,-9.375962,-8.828042,-9.641588,-10.314604,-9.595146,-9.074769,-9.367284,-7.886256,-8.0321085,-7.7950605,-9.308352,-8.4487525,-8.8973655,-6.71515,-6.688255,-6.762079,-8.975116,-9.877315,-7.822736,-8.427447,-9.7362305
-8.77432,-9.082963,-8.552166,-9.340289,-10.012771,-9.295298,-8.782034,-9.074557,-7.662843,-7.804045,-7.574658,-9.074032,-8.2196995,-8.666321,-6.551366,-6.525127,-6.59715,-8.807775,-9.707648,-7.657365,-8.258085,-9.501473
-8.491277,-8.789965,-8.27629,-9.038989,-9.710939,-8.99545,-8.4893,-8.781829,-7.6032135,-7.73911,-7.5191845,-9.0070525,-8.156018,-8.604638,-6.71515,-6.688255,-6.762079,-8.975116,-9.877315,-7.822736,-8.427447,-9.4363825
-8.208234,-8.496966,-8.000413,-8.73769,-9.409106,-8.695601,-8.196565,-8.489102,-7.461692,-7.5926105,-7.381246,-8.856403,-8.0096505,-8.4582745,-6.71515,-6.688255,-6.762079,-8.975116,-9.877315,-7.822736,-8.427447,-9.286458
-7.359107,-7.617969,-7.172784,-7.833791,-8.503608,-7.796056,-7.318362,-7.610919,-6.7095605,-6.8268555,-6.637574,-8.0697705,-7.239806,-7.6804585,-6.060014,-6.035742,-6.102364,-8.30575,-9.198647,-7.16125,-7.749998,-8.4973515
-7.359107,-7.617969,-7.172784,-7.833791,-8.503608,-7.796056,-7.318362,-7.610919,-6.7095605,-6.8268555,-6.637574,-8.0697705,-7.239806,-7.6804585,-6.060014,-6.035742,-6.102364,-8.30575,-9.198647,-7.16125,-7.749998,-8.4973515
-6.793022,-7.031971,-6.621032,-7.231192,-7.899942,-7.196359,-6.732893,-7.025464,-6.262734,-6.3707285,-6.196769,-7.6011295,-6.7816995,-7.218369,-5.732446,-5.709486,-5.772506,-7.971067,-8.859313,-6.830506,-7.411274,-8.027836
-6.50998,-6.738972,-6.345155,-6.929893,-7.59811,-6.896511,-6.440159,-6.732737,-6.121213,-6.224229,-6.0588305,-7.45048,-6.6353325,-7.0720055,-5.732446,-5.709486,-5.772506,-7.971067,-8.859313,-6.830506,-7.411274,-7.877912
-5.660852,-5.859976,-5.517526,-6.025994,-6.692612,-5.996966,-5.561955,-5.854554,-5.5328645,-5.6216025,-5.4800875,-6.8311885,-6.030859,-6.463552,-5.404877,-5.383229,-5.442649,-7.636383,-8.519979,-6.499763,-7.07255,-7.2584725
-5.377809,-5.566977,-5.24165,-5.724694,-6.390779,-5.697117,-5.269221,-5.561826,-5.309451,-5.393539,-5.259685,-6.596868,-5.801806,-6.2325065,-5.241093,-5.220101,-5.27772,-7.469042,-8.350312,-6.334391,-6.903187,-7.0237145
-4.811724,-4.980979,-4.689898,-5.122095,-5.787114,-5.097421,-4.683752,-4.976371,-4.8626245,-4.937412,-4.81888,-6.1282265,-5.3437,-5.770417,-4.913525,-4.893845,-4.947862,-7.134358,-8.010978,-6.003648,-6.564463,-6.5541995
-5.094767,-5.273978,-4.965774,-5.423394,-6.088946,-5.397269,-4.976486,-5.269098,-5.086038,-5.1654755,-5.0392825,-6.362547,-5.572753,-6.0014615,-5.077309,-5.056973,-5.112791,-7.3017,-8.180645,-6.16902,-6.733825,-6.788957
-5.377809,-5.566977,-5.24165,-5.724694,-6.390779,-5.697117,-5.269221,-5.561826,-5.309451,-5.393539,-5.259685,-6.596868,-5.801806,-6.2325065,-5.241093,-5.220101,-5.27772,-7.469042,-8.350312,-6.334391,-6.903187,-7.0237145
-5.943894,-6.152975,-5.793403,-6.327293,-6.994444,-6.296814,-5.85469,-6.147281,-5.5924935,-5.686538,-5.5355615,-6.8981675,-6.0945405,-6.525234,-5.241093,-5.220101,-5.27772,-7.469042,-8.350312,-6.334391,-6.903187,-7.323563
-5.943894,-6.152975,-5.793403,-6.327293,-6.994444,-6.296814,-5.85469,-6.147281,-5.5924935,-5.686538,-5.5355615,-6.8981675,-6.0945405,-6.525234,-5.241093,-5.220101,-5.27772,-7.469042,-8.350312,-6.334391,-6.903187,-7.323563
-6.793022,-7.031971,-6.621032,-7.231192,-7.899942,-7.196359,-6.732893,-7.025464,-6.0170575,-6.126036,-5.949376,-7.350117,-6.533642,-6.9643255,-5.241093,-5.220101,-5.27772,-7.469042,-8.350312,-6.334391,-6.903187,-7.7733355
-5.660852,-5.859976,-5.517526,-6.025994,-6.692612,-5.996966,-5.561955,-5.854554,-5.696649,-5.784731,-5.645016,-6.9985305,-6.1962305,-6.632914,-5.732446,-5.709486,-5.772506,-7.971067,-8.859313,-6.830506,-7.411274,-7.4281395
-5.094767,-5.273978,-4.965774,-5.423394,-6.088946,-5.397269,-4.976486,-5.269098,-5.086038,-5.1654755,-5.0392825,-6.362547,-5.572753,-6.0014615,-5.077309,-5.056973,-5.112791,-7.3017,-8.180645,-6.16902,-6.733825,-6.788957
-3.679554,-3.808984,-3.586392,-3.916896,-4.579783,-3.898028,-3.512814,-3.80546,-4.1327555,-4.1882865,-4.1021985,-5.3582855,-4.5928595,-5.0155995,-4.585957,-4.567589,-4.618005,-6.799675,-7.671644,-5.672905,-6.225739,-5.784836
-3.113469,-3.222986,-3.03464,-3.314297,-3.976118,-3.298331,-2.927345,-3.220005,-3.6859285,-3.732159,-3.6613935,-4.8896445,-4.134753,-4.55351,-4.258388,-4.241332,-4.288147,-6.464992,-7.33231,-5.342161,-5.887015,-5.3153205
